wn,T
2.490000e+03,5.499045e+00
2.500000e+03,4.833260e+00
2.510000e+03,2.406798e+00
2.520000e+03,9.941119e-01
2.530000e+03,4.903280e-01
2.540000e+03,2.789337e-01
2.550000e+03,1.912966e-01
2.560000e+03,1.603356e-01
2.570000e+03,1.546271e-01
2.580000e+03,1.791047e-01
2.590000e+03,2.600197e-01
2.600000e+03,4.386045e-01
2.610000e+03,5.437741e-01
2.620000e+03,2.994668e-01
2.630000e+03,1.400198e-01
2.640000e+03,7.803804e-02
2.650000e+03,5.344022e-02
2.660000e+03,4.287060e-02
2.670000e+03,3.959540e-02
2.680000e+03,4.233082e-02
2.690000e+03,5.274403e-02
2.700000e+03,7.786152e-02
2.710000e+03,1.394005e-01
2.720000e+03,2.450746e-01
2.730000e+03,2.051904e-01
2.740000e+03,1.063943e-01
2.750000e+03,6.080702e-02
2.760000e+03,4.153821e-02
2.770000e+03,3.379406e-02
2.780000e+03,3.156857e-02
2.790000e+03,3.418579e-02
2.800000e+03,4.266112e-02
2.810000e+03,6.243007e-02
2.820000e+03,1.089930e-01
2.830000e+03,2.097770e-01
2.840000e+03,2.702313e-01
2.850000e+03,1.703933e-01
2.860000e+03,9.944237e-02
2.870000e+03,6.939164e-02
2.880000e+03,5.672924e-02
2.890000e+03,5.391061e-02
2.900000e+03,5.931463e-02
2.910000e+03,7.456300e-02
2.920000e+03,1.115158e-01
2.930000e+03,1.925302e-01
2.940000e+03,3.736499e-01
2.950000e+03,5.627986e-01
2.960000e+03,4.426391e-01
2.970000e+03,2.820296e-01
2.980000e+03,2.041743e-01
2.990000e+03,1.734742e-01
3.000000e+03,1.714626e-01
3.010000e+03,1.917049e-01
3.020000e+03,2.494372e-01
3.030000e+03,3.725105e-01
3.040000e+03,6.213460e-01
3.050000e+03,1.085037e+00
3.060000e+03,1.408259e+00
3.070000e+03,1.253474e+00
3.080000e+03,9.669386e-01
3.090000e+03,7.867702e-01
3.100000e+03,7.397900e-01
3.110000e+03,7.874136e-01
3.120000e+03,9.313065e-01
3.130000e+03,1.238639e+00
3.140000e+03,1.698343e+00
3.150000e+03,2.286036e+00
3.160000e+03,2.699074e+00
3.170000e+03,2.756587e+00
3.180000e+03,2.674288e+00
3.190000e+03,2.582825e+00
3.200000e+03,2.676477e+00
3.210000e+03,2.896332e+00
3.220000e+03,3.228134e+00
3.230000e+03,3.584133e+00
3.240000e+03,3.602101e+00
3.250000e+03,3.308136e+00
3.260000e+03,3.025047e+00
3.270000e+03,2.711390e+00
3.280000e+03,2.588827e+00
3.290000e+03,2.703937e+00
3.300000e+03,3.123707e+00
3.310000e+03,3.897608e+00
3.320000e+03,4.828887e+00
3.330000e+03,5.019138e+00
3.340000e+03,3.876077e+00
3.350000e+03,2.764282e+00
3.360000e+03,2.042762e+00
3.370000e+03,1.629907e+00
3.380000e+03,1.494972e+00
3.390000e+03,1.557518e+00
3.400000e+03,1.844780e+00
3.410000e+03,2.472875e+00
3.420000e+03,3.557038e+00
3.430000e+03,4.588693e+00
3.440000e+03,3.988190e+00
3.450000e+03,2.745624e+00
3.460000e+03,1.887501e+00
3.470000e+03,1.458113e+00
3.480000e+03,1.317035e+00
3.490000e+03,1.326541e+00
3.500000e+03,1.524155e+00
3.510000e+03,2.022389e+00
3.520000e+03,2.958769e+00
3.530000e+03,4.322072e+00
3.540000e+03,5.209476e+00
3.550000e+03,3.998528e+00
3.560000e+03,2.777263e+00
3.570000e+03,2.099403e+00
3.580000e+03,1.812313e+00
3.590000e+03,1.738640e+00
3.600000e+03,1.937386e+00
3.610000e+03,2.428807e+00
3.620000e+03,3.526664e+00
3.630000e+03,4.946965e+00
3.640000e+03,5.860174e+00
3.650000e+03,5.372918e+00
3.660000e+03,4.159784e+00
3.670000e+03,3.327396e+00
3.680000e+03,2.757134e+00
3.690000e+03,2.724534e+00
3.700000e+03,2.996410e+00
3.710000e+03,3.719453e+00
3.720000e+03,4.737530e+00
3.730000e+03,5.853666e+00
3.740000e+03,5.979768e+00
3.750000e+03,5.265000e+00
3.760000e+03,4.761383e+00
3.770000e+03,4.099209e+00
3.780000e+03,3.854653e+00
3.790000e+03,3.726910e+00
3.800000e+03,4.243527e+00
3.810000e+03,5.143543e+00
3.820000e+03,6.881955e+00
3.830000e+03,7.343336e+00
3.840000e+03,6.474124e+00
3.850000e+03,5.679314e+00
3.860000e+03,4.529627e+00
3.870000e+03,3.538349e+00
3.880000e+03,3.444721e+00
3.890000e+03,3.745960e+00
3.900000e+03,4.636577e+00
3.910000e+03,6.036885e+00
3.920000e+03,7.586210e+00
3.930000e+03,7.497182e+00
3.940000e+03,5.939637e+00
3.950000e+03,4.347898e+00
3.960000e+03,3.383057e+00
3.970000e+03,2.906057e+00
3.980000e+03,2.811355e+00
3.990000e+03,3.088771e+00
4.000000e+03,3.810417e+00
4.010000e+03,5.005518e+00
4.020000e+03,6.745582e+00
4.030000e+03,7.294540e+00
4.040000e+03,5.794376e+00
4.050000e+03,4.144790e+00
4.060000e+03,3.133638e+00
4.070000e+03,2.676584e+00
4.080000e+03,2.559385e+00
4.090000e+03,2.769213e+00
4.100000e+03,3.327695e+00
4.110000e+03,4.490406e+00
4.120000e+03,6.207516e+00
4.130000e+03,7.370468e+00
4.140000e+03,6.448176e+00
4.150000e+03,4.768801e+00
4.160000e+03,3.651479e+00
4.170000e+03,3.079200e+00
4.180000e+03,2.952402e+00
4.190000e+03,3.166074e+00
4.200000e+03,3.786727e+00
4.210000e+03,4.815219e+00
4.220000e+03,6.330829e+00
4.230000e+03,7.340841e+00
4.240000e+03,6.803753e+00
4.250000e+03,5.513324e+00
4.260000e+03,4.485479e+00
4.270000e+03,3.940074e+00
4.280000e+03,3.824273e+00
4.290000e+03,4.009054e+00
4.300000e+03,4.691121e+00
4.310000e+03,5.782931e+00
4.320000e+03,6.989169e+00
4.330000e+03,7.466263e+00
4.340000e+03,6.860109e+00
4.350000e+03,5.696576e+00
4.360000e+03,4.950025e+00
4.370000e+03,4.602742e+00
4.380000e+03,4.706100e+00
4.390000e+03,5.178071e+00
4.400000e+03,6.067947e+00
4.410000e+03,7.172963e+00
4.420000e+03,7.958204e+00
4.430000e+03,7.738123e+00
4.440000e+03,6.684899e+00
4.450000e+03,5.691601e+00
4.460000e+03,5.069945e+00
4.470000e+03,4.896336e+00
4.480000e+03,5.147409e+00
4.490000e+03,5.852617e+00
4.500000e+03,6.996415e+00
4.510000e+03,8.256071e+00
4.520000e+03,8.884065e+00
4.530000e+03,8.140918e+00
4.540000e+03,6.843515e+00
4.550000e+03,5.783737e+00
4.560000e+03,5.198047e+00
4.570000e+03,5.015228e+00
4.580000e+03,5.368457e+00
4.590000e+03,6.226352e+00
4.600000e+03,7.570083e+00
4.610000e+03,9.012307e+00
4.620000e+03,9.659780e+00
4.630000e+03,8.452159e+00
4.640000e+03,7.062284e+00
4.650000e+03,5.968759e+00
4.660000e+03,5.336725e+00
4.670000e+03,5.238986e+00
4.680000e+03,5.518399e+00
4.690000e+03,6.338657e+00
4.700000e+03,7.579135e+00
4.710000e+03,8.863602e+00
4.720000e+03,9.394924e+00
4.730000e+03,8.786321e+00
4.740000e+03,7.537022e+00
4.750000e+03,6.580880e+00
4.760000e+03,6.024788e+00
4.770000e+03,5.736030e+00
4.780000e+03,5.995755e+00
4.790000e+03,6.584851e+00
4.800000e+03,7.390591e+00
4.810000e+03,8.153960e+00
4.820000e+03,8.636321e+00
4.830000e+03,8.468245e+00
4.840000e+03,7.965201e+00
4.850000e+03,7.338545e+00
4.860000e+03,6.969775e+00
4.870000e+03,6.804320e+00
4.880000e+03,6.688834e+00
4.890000e+03,6.844211e+00
4.900000e+03,7.060941e+00
4.910000e+03,7.275905e+00
4.920000e+03,7.459742e+00
4.930000e+03,7.604209e+00
4.940000e+03,7.597642e+00
4.950000e+03,7.627877e+00
4.960000e+03,7.423146e+00
4.970000e+03,7.217808e+00
4.980000e+03,6.913717e+00
4.990000e+03,6.588093e+00
5.000000e+03,6.332844e+00
5.010000e+03,6.227280e+00
5.020000e+03,6.303957e+00
5.030000e+03,6.567089e+00
5.040000e+03,6.960738e+00
5.050000e+03,7.342797e+00
5.060000e+03,7.499996e+00
5.070000e+03,7.302655e+00
5.080000e+03,7.135265e+00
5.090000e+03,6.559507e+00
5.100000e+03,6.110988e+00
5.110000e+03,5.898077e+00
5.120000e+03,6.017037e+00
5.130000e+03,6.530777e+00
5.140000e+03,7.007234e+00
5.150000e+03,7.487326e+00
5.160000e+03,7.977127e+00
5.170000e+03,7.776298e+00
5.180000e+03,7.254725e+00
5.190000e+03,6.786528e+00
5.200000e+03,6.429753e+00
5.210000e+03,6.228078e+00
5.220000e+03,6.287419e+00
5.230000e+03,6.759532e+00
5.240000e+03,7.313752e+00
5.250000e+03,7.543402e+00
5.260000e+03,7.598712e+00
5.270000e+03,7.447532e+00
5.280000e+03,6.962167e+00
5.290000e+03,6.509436e+00
5.300000e+03,6.344064e+00
5.310000e+03,6.488539e+00
5.320000e+03,6.683115e+00
5.330000e+03,7.157220e+00
5.340000e+03,7.815163e+00
5.350000e+03,7.819761e+00
5.360000e+03,7.564043e+00
5.370000e+03,7.242476e+00
5.380000e+03,6.718262e+00
5.390000e+03,6.318573e+00
5.400000e+03,6.261574e+00
5.410000e+03,6.679126e+00
5.420000e+03,7.294983e+00
5.430000e+03,7.966071e+00
5.440000e+03,8.843401e+00
5.450000e+03,8.215909e+00
5.460000e+03,7.016642e+00
5.470000e+03,6.110857e+00
5.480000e+03,5.399382e+00
5.490000e+03,5.064256e+00
5.500000e+03,5.276054e+00
5.510000e+03,5.901089e+00
5.520000e+03,7.154238e+00
5.530000e+03,8.436353e+00
5.540000e+03,8.723230e+00
5.550000e+03,7.624187e+00
5.560000e+03,5.879284e+00
5.570000e+03,4.605976e+00
5.580000e+03,3.971926e+00
5.590000e+03,3.736755e+00
5.600000e+03,3.929191e+00
5.610000e+03,4.757540e+00
5.620000e+03,6.067044e+00
5.630000e+03,7.705406e+00
5.640000e+03,8.244526e+00
5.650000e+03,6.860833e+00
5.660000e+03,5.178937e+00
5.670000e+03,3.965351e+00
5.680000e+03,3.349403e+00
5.690000e+03,3.225015e+00
5.700000e+03,3.441172e+00
5.710000e+03,4.109947e+00
5.720000e+03,5.459186e+00
5.730000e+03,7.139170e+00
5.740000e+03,7.753288e+00
5.750000e+03,6.958569e+00
5.760000e+03,5.274778e+00
5.770000e+03,4.065097e+00
5.780000e+03,3.560170e+00
5.790000e+03,3.429976e+00
5.800000e+03,3.707209e+00
5.810000e+03,4.416282e+00
5.820000e+03,5.611707e+00
5.830000e+03,6.968117e+00
5.840000e+03,7.123968e+00
5.850000e+03,6.295330e+00
5.860000e+03,5.217964e+00
5.870000e+03,4.210831e+00
5.880000e+03,3.808280e+00
5.890000e+03,3.784972e+00
5.900000e+03,3.904999e+00
5.910000e+03,4.506651e+00
5.920000e+03,5.387294e+00
5.930000e+03,5.830305e+00
5.940000e+03,5.520382e+00
5.950000e+03,4.738107e+00
5.960000e+03,4.016219e+00
5.970000e+03,3.583636e+00
5.980000e+03,3.408486e+00
5.990000e+03,3.589859e+00
